,Energy & Transportation,Manufacturing,Industrial Applications & Services,Financials,Life Sciences,Real Estate & Construction,Trade & Services,Technology,No Industry,None Industry
MORT,0,0,0,0,0,0,0,0,1,0
PER,0,0,0,0,0,0,0,0,1,0
CARB,0,0,0,0,0,0,0,1,0,0
PME,0,1,0,0,0,0,0,0,0,0
MTGE,0,0,0,0,0,1,0,0,0,0
JTPY,0,0,0,1,0,0,0,0,0,0
TSU,0,0,0,0,0,0,0,1,0,0
FIF,0,0,0,0,0,0,0,0,1,0
TILT,0,0,0,0,0,0,0,0,1,0
GUNR,0,0,0,0,0,0,0,0,1,0
TDTT,0,0,0,0,0,0,0,0,1,0
TDTF,0,0,0,0,0,0,0,0,1,0
FBHS,0,1,0,0,0,0,0,0,0,0
FSM,1,0,0,0,0,0,0,0,0,0
MOM,0,0,0,0,0,0,0,0,1,0
CHEP,0,0,0,0,0,0,0,0,1,0
SIZ,0,0,0,0,0,0,0,0,1,0
BTAL,0,0,0,0,0,0,0,0,1,0
FNV,0,0,0,0,0,1,0,0,0,0
DSUM,0,0,0,0,0,0,0,0,1,0
PFIG,0,0,0,0,0,0,0,0,1,0
XHS,0,0,0,0,0,0,0,0,1,0
XSW,0,0,0,0,0,0,0,0,1,0
XAR,0,0,0,0,0,0,0,0,1,0
CANE,0,0,0,0,0,0,0,0,1,0
WEAT,0,0,0,0,0,0,0,0,1,0
SOYB,0,0,0,0,0,0,0,0,1,0
VER,0,0,0,0,0,1,0,0,0,0
FMNB,0,0,0,0,0,0,0,0,0,1
LCNB,0,0,0,0,0,0,0,0,0,1
ORIG,1,0,0,0,0,0,0,0,0,0
PBSK,0,0,0,1,0,0,0,0,0,0
STB,1,0,0,0,0,0,0,0,0,0
TTFS,0,0,0,0,0,0,0,0,1,0
DBLV,0,0,0,0,0,0,0,0,1,0
FXCH,0,0,0,0,0,0,0,0,1,0
GNE,1,0,0,0,0,0,0,0,0,0
LEMB,0,0,0,0,0,0,0,0,1,0
ACWV,0,0,0,0,0,0,0,0,1,0
EEMV,0,0,0,0,0,0,0,0,1,0
EFAV,0,0,0,0,0,0,0,0,1,0
USMV,0,0,0,0,0,0,0,0,1,0
SVXY,0,0,0,0,0,0,0,0,1,0
UVXY,0,0,0,0,0,0,0,0,1,0
KOLD,0,0,0,0,0,0,0,0,1,0
BOIL,0,0,0,0,0,0,0,0,1,0
SCHD,0,0,0,0,0,0,0,0,1,0
TTP,0,0,0,0,0,0,0,0,0,1
